candidate,setting_key,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,is_registered
1,"adx[length=28, threshold=25.0]",15m,1,1185,-0.01825134977373197,-0.06906781988995662,-0.630781449320109,0.5283051691563376,-0.07315742262753668,0.03258102644640646,-0.9120711598055379,-3.582487814976843,1.6791917493840072,0.4666666666666667,0.017086380629459406,-0.010859770559358687,-0.0588171099655124,False,1185,-0.01825134977373197,0.5283051691563376,False
1,"adx[length=28, threshold=25.0]",15m,3,1184,0.07436841357065593,-0.08245592666084356,1.5769808934520588,0.11506727468360632,-0.021187561183548784,0.1674671383570377,2.112710123971391,-1.9600143083124393,6.256004616132323,0.46621621621621623,0.09118541277937528,0.1088322694448566,0.02327494989778395,True,1180,0.07331376554732494,0.12106393419933027,False
1,"adx[length=28, threshold=25.0]",15m,6,1184,0.10178017840179318,-0.1467106899133503,1.5055353453685043,0.13245344141470697,-0.0458048170707617,0.22283636427379377,1.9822868641098361,-4.7194720455892645,8.058511132689116,0.45692567567567566,0.19959574106387473,0.12193804589335762,-0.010145042628180273,False,1174,0.10710200098640525,0.11568248952906394,False
1,"adx[length=28, threshold=25.0]",15m,12,1184,0.1409303297009589,-0.1582749539531783,1.6178867414358478,0.10595358351736299,-0.051258566520225035,0.308477671581959,2.623614303036665,-6.156701786207175,10.86351613697169,0.47466216216216217,0.26917804210125074,0.10736211023081003,0.05583068339326481,True,1157,0.1460664634509963,0.09935607558041482,True
1,"adx[length=28, threshold=25.0]",15m,24,1184,0.25531239438266135,-0.28344781280318665,2.134537459960274,0.03300388577790757,0.02559375095818674,0.4635820232026552,7.917840630253179,-2.4506280851969695,17.86405901344516,0.46368243243243246,0.250732724514495,0.28635723391231344,0.22768436391800903,True,1122,0.21836984776704152,0.07748953386899611,False
1,"adx[length=28, threshold=25.0]",15m,48,1183,0.6007404789860671,-0.07476570514489542,3.6252695925186,0.00030094095186779767,0.2885566173140595,0.9004307289144692,13.643805348797846,0.44842454286299555,25.659479045085494,0.49366018596787825,1.071750411492059,0.8232701245544612,-0.0659479690660303,False,1050,0.5879197016245353,0.0009537063876670598,False
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,1,213,-0.12923675238182508,-0.17642141018636592,-2.0966439422058913,0.03721099774330702,-0.20307724965086196,-0.010894742932152836,-11.992671451390546,-18.230003598058662,-2.341297078103192,0.37089201877934275,-0.1644417145992154,-0.17928254113332118,-0.027697335509616807,True,213,-0.12923675238182508,0.03721099774330702,False
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,3,213,-0.12653281450744502,-0.13931907800623086,-1.2333691827290734,0.2188038022868165,-0.26655040970553645,0.033989150211959834,-11.20179610282914,-22.31909379597646,2.81533536574703,0.431924882629108,-0.117712229024312,-0.23402418674182013,-0.024199253194502147,True,213,-0.12653281450744502,0.2188038022868165,True
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,6,213,-0.042222707432982336,-0.10310237923060893,-0.3573265251018924,0.7212028304151653,-0.2722352576645111,0.1836647661082001,-2.8752286272287284,-21.750237043918787,15.981588045340528,0.4694835680751174,0.0417104569982501,-0.4572986150300742,0.2845626300630387,False,213,-0.042222707432982336,0.7212028304151653,False
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,12,213,0.11511124002261822,0.05223582216605658,0.7029104802012073,0.48288269084890684,-0.13764069351695124,0.41991474391599665,1.862564519832268,-22.203224149461672,31.440852916449863,0.5164319248826291,-0.04742775128033429,0.08702828128508089,0.36784171643275404,False,213,0.11511124002261822,0.48288269084890684,False
