leader,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,passes
wavetrend,5m,1,68102,0.004096006288857958,-0.0011876394812449101,1.412830514173916,0.15771013395500064,-0.0016103047898560615,0.009903335770253607,0.07109884393260672,-0.07687716503082266,0.22351004963829849,0.4913512084813956,0.009185554789405703,0.005528066882945604,-0.0023883084741320683,False,61937,0.003069204763249168,0.3111234425140249,False
wavetrend,5m,3,68102,-0.004765750247177389,-0.014558836423304793,-0.9369750401915593,0.34877471982411273,-0.013598101163606525,0.0040435038719845,-0.095156591058609,-0.3490903875463555,0.15453286089366208,0.49207071745323194,-0.003963499178816573,0.002101560249816511,-0.012451632174785595,False,50198,-0.013872165283358719,0.018072255509816313,False
wavetrend,5m,6,68102,-0.01672729583362268,-0.018378676927040385,-2.310896618976865,0.020841537554619285,-0.02696154224206173,-0.006575089574459531,-0.12471294556426578,-0.4204396004362806,0.17586899315896662,0.4930545358432939,-0.02226746399597156,-0.010590395654985027,-0.017390346612691746,True,38396,-0.04639729644254036,1.2238539299153308e-06,False
wavetrend,5m,12,68098,-0.010808309066462766,-0.025418626830691373,-1.0412366375785098,0.29776943234552455,-0.021422151612029136,-0.0003084497311035705,-0.26331407789940153,-0.579271503849965,0.05002230135703468,0.49337719169432287,-0.010134386308868934,-0.010913507940550517,-0.011371133765020976,True,25267,-0.045076995621074076,0.006966970029977025,False
wavetrend,5m,24,68089,-0.004492427465482036,-0.03201684797694263,-0.2941494903385195,0.7686445715762877,-0.015879357720344153,0.006560798890715905,-0.0011933469131530778,-0.2992318330097079,0.30605793610585924,0.4940445593267635,-0.01596084541965881,0.007348235765878873,-0.005000142513810802,False,15032,-0.008319596155081104,0.7970103697368078,False
wavetrend,5m,48,68083,-0.013942307955446171,-0.03183639836696524,-0.6256779431787481,0.5315283007248849,-0.026238105628879273,-0.0018291364758643697,-0.40726162132062105,-0.7166333737265319,-0.09553912865776903,0.4960709721957023,-0.023843141998645487,-0.00831952769863213,-0.009765434656507692,True,8286,0.12102532554922145,0.0549320909381661,False
wavetrend,15m,1,22334,-0.006357882201492098,-0.032431819237553075,-1.323489780577612,0.18568610063191657,-0.015791501990468724,0.00267413030327897,-0.22010770529453305,-0.669974041186133,0.2234397259147164,0.4752395450882063,-0.0071218110180007385,-0.015782215038535333,0.003975142413963415,False,20241,-0.0073478089532680235,0.1441789139790154,False
wavetrend,15m,3,22331,-0.000111127860200709,-0.013268905425864497,-0.013427276627499827,0.9892870251543859,-0.013795977749785287,0.013720513111897873,-0.5558766950226304,-1.2570656460568819,0.16052163320782295,0.49169316197214635,0.001657597590172195,-0.0029399150624931465,0.0009899624510603913,False,16389,0.004412618696383562,0.6499631106054607,False
wavetrend,15m,6,22331,0.0335510800512716,-0.01189131339555373,2.7393979241542543,0.006160067064105451,0.016187378211360987,0.05094114646584252,0.931820073412036,0.09260260907748541,1.7929531834150005,0.4951860642156643,0.022697645853542364,0.038551857392914106,0.03934059940474778,True,12597,0.039265950836549476,0.01613064311113037,False
wavetrend,15m,12,22331,0.010294155033130485,-0.02689503857313375,0.590731426179971,0.5547063665552822,-0.007334392372184073,0.029515301856534493,-0.2754477991099376,-1.1486113178823374,0.647596789033312,0.49330527069992386,0.0045852515215334235,0.009440122901698295,0.016877067140087347,True,8364,0.014583329547556272,0.6216721393817063,False
