interval,horizon,condition,n,mean_bps,std_bps,median_bps,stderr_bps,t_stat,p_value,ci_low_bps,ci_high_bps,win_rate,n_non_overlap,non_overlap_mean_bps,non_overlap_t,non_overlap_p
5m,1,sign_accel,11924,-0.3441289551254221,22.893294699016806,-1.1802895038054428,0.2096511819569438,-1.6414357978487144,0.10073335863425995,-0.7424934352080893,0.06959418900095642,0.4547970479704797,11924,-0.3441289551254221,-1.6414357978487144,0.10073335863425995
5m,3,sign_accel,11924,-0.5703549044434654,38.189211122691646,-1.9758062122143816,0.3497274357027963,-1.630855478345032,0.10294723023797013,-1.211582387010529,0.08753102587702917,0.4593257296209326,11577,-0.6727176193294906,-1.896128018225331,0.05796799579077749
5m,6,sign_accel,11922,-0.6083747035362279,53.99948572041469,-2.3285004057971292,0.49455553292245136,-1.2301443680979378,0.2186673225528185,-1.552107605611566,0.34804516212993636,0.46560979701392385,11149,-0.8343714543238115,-1.6352796282434898,0.1020186743241844
5m,12,sign_accel,11922,-0.1847719791062792,75.95526958398543,-2.396214403267982,0.6956380848118917,-0.26561509948990736,0.7905402485712629,-1.4595547798245123,1.1571419799782336,0.4735782586814293,10298,-0.6428953894744159,-0.8571856075238324,0.391362264394579
5m,24,sign_accel,11922,-0.4071177009440872,101.89407075745615,-3.37616282360953,0.9331991924145441,-0.43626023709977463,0.6626558282259261,-2.1612673709879204,1.3245681975698282,0.4755074651904043,8323,-0.7325948690812027,-0.6469157144215492,0.5177043368269695
5m,48,sign_accel,11921,-0.3737146130638843,144.25183163112092,-3.4831069313834284,1.321189131232788,-0.28286231261619227,0.7772872970387326,-2.722907387453038,2.046232253499159,0.48183877191510777,5746,0.6721819052135576,0.3559180856284642,0.7219149795390437
15m,1,sign_accel,4373,0.4215618200148878,38.73338443997984,-1.8662072925645923,0.5857276254130639,0.7197233009414505,0.471733848047258,-0.6409864396035492,1.495193698021471,0.4612394237365653,4373,0.4215618200148878,0.7197233009414505,0.471733848047258
15m,3,sign_accel,4373,-0.9962505559463712,61.543556825143554,-2.8677273781929635,0.9306638683878475,-1.070473013712391,0.28446554190531576,-2.8208015218766143,0.805243547209861,0.4644408872627487,4277,-1.031882779702119,-1.0966159569571376,0.27287106305224956
15m,6,sign_accel,4373,-0.224741442040109,89.47846415398953,-2.561979989228469,1.3530965365481378,-0.16609416694942047,0.8680905246513555,-3.030270816263043,2.5603232994527416,0.4731305739766751,4141,-0.8082087090822502,-0.5878437065401245,0.5566692663405678
15m,12,sign_accel,4370,-0.18620175083125692,126.94840252521605,-2.317627756722729,1.920377114453624,-0.09696103407493173,0.92276178628771,-4.019788307572226,3.591660201478813,0.48443935926773457,3820,0.15000846187322095,0.07286235282385997,0.9419194680036972
15m,24,sign_accel,4370,-1.5024696670326387,177.8371502027461,-4.458985614837485,2.6901826770224186,-0.5585009820580739,0.5765309548434767,-7.122990172172296,3.9509886558055487,0.4837528604118993,3033,-2.1047311171470167,-0.6569408949897351,0.5112687812255551
15m,48,sign_accel,4367,-0.2812792622582308,246.4875685871099,-4.456571601061388,3.7299535622263216,-0.0754109287329416,0.9398912190830973,-7.444646977350969,6.750780123322484,0.490038928326082,2030,-3.017266445097831,-0.5611664520887412,0.5747460386864903
1h,1,sign_accel,1054,2.540583977843333,82.05806722978323,-2.7279057774404203,2.5275571149141904,1.005153934149411,0.31505365093882903,-2.6485006532209456,7.894009989732091,0.47248576850094876,1054,2.540583977843333,1.005153934149411,0.31505365093882903
1h,3,sign_accel,1054,6.55929404992517,123.12525118153917,-1.5134318772969113,3.79251078115258,1.7295386693486836,0.08400578197187697,-1.2739051238954382,14.189328077957201,0.48671726755218214,1029,6.691015746413348,1.7326496310675261,0.08345787196182922
1h,6,sign_accel,1054,7.375420532296722,182.31473743147768,-3.522011819512838,5.615668602798764,1.313364632774257,0.1893462112435333,-4.200464908550498,18.463090588438266,0.48007590132827327,1006,5.294090905818155,0.9149849028632004,0.36041903196969644
1h,12,sign_accel,1051,3.0756867321982737,237.10817347823087,-8.822585819699968,7.313835144414946,0.42052995063020476,0.6741844034101478,-12.243264496798735,16.892940293727584,0.4681255946717412,948,2.7809005332949144,0.353943983692268,0.7234596510990793
1h,24,sign_accel,1051,0.1269333730377186,317.28559406162026,-10.914106895880682,9.786986650957887,0.012969607251410237,0.9896545045038784,-19.309121983368705,19.17349178030214,0.4719314938154139,739,-11.877354368365138,-1.0140549476763292,0.3108888690142369
1h,48,sign_accel,1048,20.534313766062255,454.6445932080553,10.224852935732386,14.044018385678944,1.4621394818880067,0.14400307049498298,-3.8631342741378565,44.29807211917069,0.5057251908396947,506,19.371998538006334,1.0043864145267614,0.31567340376851816
