setting_key,family,interval,score,score_percentile,n_neighbours,neighbour_median_score,best_horizon,mean_atr,mean_bps,n_signals,signs_agree,neighbour_percentile,passes_neighbour,passes_signs,passes_all
"adx[length=10, threshold=15.0]",adx,15m,54.333333333333336,0.8923076923076924,3,29.666666666666668,24,-0.014743553026358464,-1.983021390581623,1575,False,0.4307692307692308,False,False,False
"adx[length=10, threshold=15.0]",adx,1h,37.833333333333336,0.6307692307692307,3,35.666666666666664,1,0.06541254073259259,4.417625432660904,307,True,0.6076923076923076,False,True,False
"adx[length=10, threshold=15.0]",adx,5m,35.833333333333336,0.6,3,43.5,1,0.006790528556383474,0.11480584752840504,5037,False,0.8461538461538461,False,False,False
"adx[length=10, threshold=20.0]",adx,15m,29.666666666666668,0.4153846153846154,4,36.33333333333333,48,0.17902047068252772,8.56143951153198,3183,True,0.5538461538461539,False,True,False
"adx[length=10, threshold=20.0]",adx,1h,40.166666666666664,0.676923076923077,4,33.083333333333336,48,0.34458696928887617,29.56061585518315,761,True,0.5538461538461539,False,True,False
"adx[length=10, threshold=20.0]",adx,5m,43.5,0.7692307692307693,4,35.5,48,0.00655896114564161,0.48777910737960384,10396,False,0.5923076923076923,False,False,False
"adx[length=10, threshold=25.0]",adx,15m,28.5,0.4,4,25.166666666666668,24,0.07571731134903437,4.693105917935617,3730,False,0.3384615384615385,False,False,False
"adx[length=10, threshold=25.0]",adx,1h,27.666666666666668,0.36923076923076925,4,27.75,24,0.14226125086649027,3.8752482055665185,923,False,0.46923076923076923,False,False,False
"adx[length=10, threshold=25.0]",adx,5m,35.5,0.5769230769230769,4,30.25,12,0.02695482854752694,0.01978924051828963,11678,False,0.2846153846153846,True,False,False
"adx[length=10, threshold=30.0]",adx,15m,20.666666666666668,0.2846153846153846,3,22.166666666666668,3,0.04331432408470421,1.5813159778709076,3483,True,0.27692307692307694,True,True,True
"adx[length=10, threshold=30.0]",adx,1h,26.333333333333332,0.3384615384615385,3,27.666666666666668,24,0.2763785689116187,12.651525178704665,838,True,0.4461538461538462,False,True,False
"adx[length=10, threshold=30.0]",adx,5m,24.5,0.26153846153846155,3,31.0,48,0.16482009099756792,3.168551973646436,10497,True,0.33076923076923076,False,True,False
"adx[length=14, threshold=15.0]",adx,15m,20.333333333333332,0.26153846153846155,3,24.333333333333332,48,0.2691713727784245,11.126125841235485,1694,True,0.2923076923076923,True,True,True
"adx[length=14, threshold=15.0]",adx,1h,28.333333333333332,0.3923076923076923,3,35.333333333333336,12,0.13257419049073665,7.852101075043242,371,False,0.5846153846153846,False,False,False
"adx[length=14, threshold=15.0]",adx,5m,49.833333333333336,0.8461538461538461,3,35.833333333333336,12,-0.00898632322597309,-0.4207670975248868,6039,False,0.6307692307692307,False,False,False
"adx[length=14, threshold=20.0]",adx,15m,24.333333333333332,0.38461538461538464,4,20.5,6,0.07466638171484828,4.124994112155553,2553,True,0.2153846153846154,True,True,True
"adx[length=14, threshold=20.0]",adx,1h,28.333333333333332,0.3923076923076923,4,27.0,48,0.5085793570048411,34.46289938496513,615,True,0.4307692307692308,False,True,False
"adx[length=14, threshold=20.0]",adx,5m,33.666666666666664,0.46153846153846156,4,35.25,12,0.049630670698748734,0.6268400104388537,8129,True,0.5384615384615384,False,True,False
"adx[length=14, threshold=25.0]",adx,15m,10.333333333333334,0.08461538461538462,4,18.5,12,0.18390368437529747,7.527597417577197,2540,True,0.18461538461538463,True,True,True
"adx[length=14, threshold=25.0]",adx,1h,25.666666666666668,0.3076923076923077,4,25.75,48,0.5238693069025344,33.134004638316604,616,True,0.3076923076923077,False,True,False
"adx[length=14, threshold=25.0]",adx,5m,21.333333333333332,0.24615384615384617,4,26.083333333333332,48,0.1571639502657296,2.2117457949600303,7467,True,0.19230769230769232,True,True,True
"adx[length=14, threshold=30.0]",adx,15m,10.333333333333334,0.08461538461538462,3,10.333333333333334,12,0.21957446450726853,9.42396365323029,2046,True,0.046153846153846156,True,True,True
"adx[length=14, threshold=30.0]",adx,1h,23.833333333333332,0.24615384615384617,3,25.666666666666668,24,0.3489924875446842,17.278968996512464,487,False,0.2923076923076923,True,False,False
"adx[length=14, threshold=30.0]",adx,5m,11.333333333333334,0.1076923076923077,3,21.333333333333332,24,0.21866442437994518,2.831779491581196,5729,True,0.09230769230769231,True,True,True
"adx[length=20, threshold=15.0]",adx,15m,15.166666666666666,0.16923076923076924,3,20.666666666666668,12,0.12626309270579944,6.7719481703240785,1538,True,0.23846153846153847,True,True,True
"adx[length=20, threshold=15.0]",adx,1h,35.333333333333336,0.5076923076923077,3,28.333333333333332,48,0.40672309887267616,28.45462657675823,382,True,0.5076923076923077,False,True,False
"adx[length=20, threshold=15.0]",adx,5m,36.333333333333336,0.6307692307692307,3,27.0,12,0.06601043650566793,0.9424375060363748,5205,False,0.2153846153846154,True,False,False
"adx[length=20, threshold=20.0]",adx,15m,20.666666666666668,0.2846153846153846,4,13.916666666666666,12,0.11133256638917992,5.90317053681881,1794,False,0.1076923076923077,True,False,False
"adx[length=20, threshold=20.0]",adx,1h,20.5,0.2,4,22.416666666666664,48,0.5894941984038515,37.65486558839557,422,True,0.16923076923076924,True,True,True
