family,interval,n_settings,spearman,p_value
adx,5m,20,0.7985695035137584,2.4310895569012164e-05
adx,15m,20,0.6784638554216869,0.001007596957740719
adx,1h,20,0.5075301204819277,0.022352034574284824
wavetrend,5m,18,0.8395463128291787,1.317978667325125e-05
wavetrend,15m,18,0.7803112997994628,0.00013330111387220851
wavetrend,1h,18,0.7567324277014085,0.0002779006319334668
squeeze,5m,27,-0.010091754916534353,0.9601557694410701
squeeze,15m,27,0.37972202964526025,0.05074749253985637
squeeze,1h,27,0.12419721133804922,0.5370976753422272
