leader,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p
wavetrend,5m,1,9370,0.009662741744439615,0.03266004623485481,1.1567011459328367,0.24742397295959428,-0.006019501784922725,0.026305210542938336,0.11609242425458385,-0.35706535623067276,0.6002872730852928,0.5171824973319104,0.035892541983887714,0.012909637193234277,-0.018443101490254396,False,9370,0.009662741744439615,0.24742397295959428
wavetrend,5m,3,9370,-0.020652181450017796,0.07982491430856103,-1.3447700978725097,0.17873204263172415,-0.05048280499955697,0.010282566893725547,-0.15511366860946302,-1.0169494040487457,0.7109338906968957,0.5252934898612593,0.0077773673589323754,-0.026726704363811908,-0.041964908739158605,False,9106,-0.02048044631470673,0.1902800117099377
wavetrend,5m,6,9370,-0.05608526480103032,0.08296397089907187,-2.6021308276131894,0.009279232232643568,-0.09838664667856159,-0.013048387758861059,-0.5879014448383689,-1.788706155979937,0.6136831416640901,0.5210245464247599,-0.012081125995896329,-0.08468219684844115,-0.07076653983498495,True,8232,-0.07282268055534682,0.0017378688835934682
wavetrend,5m,12,9367,-0.031281459150868524,0.14043014363557044,-1.043673148095798,0.29666357376810315,-0.09344993383343621,0.032386796789310536,-0.2692775510714563,-2.019846742855847,1.4471818632227296,0.5281306715063521,0.020723971175556893,-0.11035828083950446,-0.00544583187389793,False,7013,-0.04139288819528538,0.2284883247303007
wavetrend,5m,24,9363,-0.009149856058780818,0.14823599169877621,-0.20587456678751426,0.8368933690771286,-0.11604828386224109,0.09922769003024445,0.04235081655048836,-2.7689348319477425,2.9040976637586935,0.5182099754352237,0.032155804281418086,-0.13249212695247123,0.06912895551906581,False,5932,-0.060340549488122036,0.26373907240439015
wavetrend,5m,48,9363,-0.09619231764338101,0.17743979721164335,-1.5047525227213474,0.1324214484974428,-0.2711710247144215,0.07838457870561415,-3.0918506991950268,-7.552481470364757,1.304807824107477,0.5163943180604507,-0.039792309858828874,-0.2185819933019534,-0.03321819971891679,True,4532,-0.04318969484240688,0.6391317402965935
wavetrend,15m,1,3075,0.013422962238930764,0.021658474113416794,1.0017538835747104,0.3165413220122166,-0.011755590070693087,0.03804608340216764,0.5894626175474409,-0.7028392014010847,1.8750190090575065,0.5141463414634146,0.03095469634180133,-0.0051335370802270824,0.014486700394979323,False,3075,0.013422962238930764,0.3165413220122166
wavetrend,15m,3,3075,-0.022171132989137265,0.059763656303513144,-0.9402511134263716,0.34716264622910664,-0.0672755881623188,0.021204406844109736,-1.1546799530968326,-3.3841207602137753,0.9511176245483876,0.5229268292682927,0.003743751382527445,-0.06064041314691489,-0.009687247934473417,False,2993,-0.025589535356651545,0.2872517211461802
wavetrend,15m,6,3075,0.007369093993753219,0.10726407649461694,0.2055737047362848,0.8371375314791506,-0.06118491133509013,0.0766153709312724,0.272402116300329,-3.150963403314554,3.6692377632739226,0.5323577235772358,0.02909914210988683,-0.05015573530911245,0.04281150842043464,False,2720,0.015200102746298755,0.6856285639999424
wavetrend,15m,12,3075,-0.008251786098634464,0.18789358167013154,-0.17209332634606542,0.8633754876416226,-0.11387343234188814,0.10180409134550181,-0.8964774050562145,-6.227051414351601,4.5737036046242014,0.5434146341463415,0.01940875699889976,-0.08597001670601814,0.04130521415703161,False,2325,-0.04041748025608261,0.47021074470473334
wavetrend,15m,24,3074,0.023480168704885725,0.1664751673752885,0.3374286935984281,0.7358168028028033,-0.1382508408197003,0.1925505525069974,-0.47514426768500073,-8.381651391893527,7.50736474902153,0.523747560182173,0.13838222608537545,-0.04297792357153178,-0.024132485314937106,False,1987,0.03811002717519112,0.6710726400074677
wavetrend,15m,48,3070,-0.10649528242131191,0.2476344297176783,-1.0660053077099425,0.2865050963670228,-0.3509954255480236,0.1518732992604019,0.21109300882021625,-11.000001821382348,11.659048012076177,0.5244299674267101,-0.17206394531953006,-0.1139436300305019,-0.03453132787711937,True,1511,-0.0008921149868469773,0.9951372992222494
wavetrend,1h,1,784,-0.032859947192120216,-0.023245480045568707,-1.302066684104116,0.1932764852074658,-0.07837498789723706,0.015408598175939528,-1.9589981503169613,-6.529969720497674,2.8742794572364683,0.4897959183673469,-0.05115271122968336,0.014313544078483521,-0.05806550068579971,False,784,-0.032859947192120216,0.1932764852074658
wavetrend,1h,3,784,-0.06799871321818576,-0.03076366765071893,-1.4798242886077804,0.1393223618275152,-0.14911316179402206,0.007979885598513035,-4.941222405887754,-13.555105285610063,2.930807281192567,0.4885204081632653,-0.06732002580523952,0.04089018302355862,-0.1672040503355015,False,767,-0.06103212283526363,0.19223510363991583
wavetrend,1h,6,784,-0.1285457501576147,-0.042240087516616544,-2.000325174550269,0.0458100622199093,-0.24360357933022547,-0.01961099105507407,-5.437710567828292,-17.497327396516727,5.812502015988529,0.48596938775510207,-0.19157133080149474,0.024941202494695117,-0.20720291121263762,False,679,-0.07959402113178267,0.24770037330647934
wavetrend,1h,12,784,-0.2261039098212982,0.08626360670603192,-2.3097311370773492,0.02116233645046077,-0.4190421425891402,-0.04646155957860972,-10.835478362512829,-30.919653098841117,7.972769946198796,0.514030612244898,-0.1906965985846553,-0.06311267949036677,-0.4074854450989312,True,583,-0.22275341404297705,0.05184016994957748
wavetrend,1h,24,784,-0.37997724448803893,-0.045766295135813415,-2.8343796258911182,0.004709682904698777,-0.6788326985615596,-0.09770663172234641,-26.648486993162944,-58.907842738899724,4.019176502476486,0.49362244897959184,-0.1794395980403718,-0.08215564846731777,-0.8412933728910593,True,473,-0.3772189481043527,0.030332451424175472
wavetrend,1h,48,784,-0.15861214452834407,0.15928863690776207,-0.886187211388738,0.3757887379351934,-0.6375406603661364,0.27448993025290574,4.862922083933222,-46.19355048573801,50.6893157967034,0.5267857142857143,0.0025730210685739976,0.18150145166029363,-0.6205781490581787,False,365,-0.22270508994066587,0.42336277227087876
adx,5m,1,7470,-0.011502262237887988,-0.0732961510118864,-1.0640778452123878,0.2873278355296177,-0.03229175869415317,0.011224176392178306,-0.1561448123800438,-0.7277539286604896,0.4510504131702099,0.4528781793842035,-0.02657032626615356,0.008110855084850668,-0.016561071641669905,False,7470,-0.011502262237887988,0.2873278355296177
adx,5m,3,7470,0.0014019327283548628,-0.12350252531794752,0.07611140188353542,0.939332507563849,-0.03285156467397939,0.03957054614772595,-0.013975693935005902,-0.9744829301605473,1.0112331521416982,0.4568942436412316,-0.03627140811853716,0.007846540610397341,0.031755053295243946,False,7405,0.000285920117039031,0.9876966429002845
adx,5m,6,7470,0.035958428566626184,-0.14239012664474598,1.3753575698102936,0.16906186433563772,-0.015334047581928401,0.09015075606980524,-0.216454257886328,-1.5015394108291338,1.144807639550384,0.46037483266398926,0.03284808431780366,0.04434957880066242,0.030529884103391147,True,7279,0.03580735550166056,0.17691908533614287
adx,5m,12,7470,0.03891037606281172,-0.18226717526032044,1.0523163998908376,0.2926884528435319,-0.0343606740830598,0.11629982924362083,-1.1103574814158297,-2.89956469846093,0.7248806114000154,0.46157965194109773,0.022042845582518827,0.06259238164615752,0.03150421504778435,True,6946,0.049870248319223674,0.1965282784223826
adx,5m,24,7470,0.08583021845906001,-0.17372046995326448,1.7173657050894233,0.0859538273087775,-0.007735960021248545,0.1821960963987626,-0.15747452480480903,-2.4267764157766023,2.2367829533128387,0.47483266398929047,0.11219007511615886,0.12603098133679458,0.01945304450439369,True,6114,0.09778092056266321,0.07661506076392126
adx,5m,48,7467,0.1571639502657296,-0.19805460358663304,2.206320043667814,0.02739193525457787,0.018828965080298264,0.30004212293418986,2.2117457949600303,-0.9383393168248813,5.525807586433773,0.48078210794160975,0.1773140478773874,0.14080259139434442,0.1539677596983032,True,4708,0.11501022453257026,0.20661234159877012
adx,15m,1,2540,0.029164802881946124,-0.06226897275586059,1.6278125304640167,0.10368871593723282,-0.003872035519732215,0.06544510812038955,0.7845382971646157,-0.9715281604559863,2.55462845377446,0.4559055118110236,-0.0008731086347987817,0.04584529912279787,0.04145431413899669,False,2540,0.029164802881946124,0.10368871593723282
adx,15m,3,2540,0.10345635424905666,-0.020767620135846515,3.412443243380837,0.000653917993435363,0.04697859880054503,0.1614547905021189,4.072807036630013,1.242528083596606,7.043620896665387,0.48976377952755906,0.06213877216839329,0.0928180332282756,0.1544569559215775,True,2524,0.10229218338069496,0.0007845209201717776
adx,15m,6,2540,0.07908963962390018,-0.06300315150179599,1.9034695944713749,0.057092272985983704,0.003675223946433632,0.15513625947085893,2.3730815455582683,-1.3806731497356028,6.18106655454468,0.481496062992126,0.1195888733419397,0.04759608615343741,0.07166148710647745,True,2467,0.0684677875460296,0.10422728006308239
adx,15m,12,2540,0.18390368437529747,-0.013754978135411485,3.072755888764587,0.002143436378237462,0.07294032868142683,0.2936979902262444,7.527597417577197,2.3335677408375535,12.800858448467945,0.4984251968503937,0.2902663604384989,0.18199767554039165,0.08235421675206937,True,2355,0.18752850636768728,0.0027459596515269835
adx,15m,24,2540,0.22282299281198614,0.02819053173559285,2.609343289260996,0.009124875378284457,0.04764304778955376,0.39044670020077377,9.66434609008591,2.059166170340692,17.43860856812416,0.502755905511811,0.30813119291812663,0.2467168038592232,0.11556388643369941,True,2084,0.2517039984267997,0.006502044691113244
adx,15m,48,2537,0.2571142755114947,-0.03201707577374726,2.1243540889583508,0.03373704344509359,0.037476195695045705,0.47666073975127565,10.706977173959668,1.0492853143377459,20.91244305854055,0.4966495861253449,0.2861301538329597,0.27454136819482644,0.21119051887243445,True,1587,0.3270336589254557,0.03264438515617609
adx,1h,1,618,0.04175051795511359,-0.029145264660547898,1.3652660570249915,0.1726670078891665,-0.016391511304701317,0.10713954029733953,5.346065954074677,-0.10456972735019346,11.707428713554739,0.47896440129449835,0.08713439260075806,-0.009858226157080445,0.04548818594267037,False,618,0.04175051795511359,0.1726670078891665
adx,1h,3,618,0.00775119118746656,-0.08285354389350627,0.14935105336956944,0.8813254356915686,-0.09627369248304032,0.11654032844218518,2.7149689051840844,-6.296902849241338,12.23115146681416,0.47249190938511326,0.01918646375168524,-0.011877013195375513,0.014970432645865905,False,616,0.008734343553793421,0.8668211618914691
