candidate,setting_key,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,is_registered,origin,part_a_mean_atr,part_a_mean_bps,part_a_n_signals,passes
1,"adx[length=28, threshold=25.0]",15m,12,1184,0.1409303297009589,-0.1582749539531783,1.6178867414358478,0.10595358351736299,-0.051258566520225035,0.308477671581959,2.623614303036665,-6.156701786207175,10.86351613697169,0.47466216216216217,0.26917804210125074,0.10736211023081003,0.05583068339326481,True,1157,0.1460664634509963,0.09935607558041482,True,Part A のグリッド探索 (選定ルール通過),0.3748572993956179,12.647241622447144,804,False
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,3,213,-0.12653281450744502,-0.13931907800623086,-1.2333691827290734,0.2188038022868165,-0.26655040970553645,0.033989150211959834,-11.20179610282914,-22.31909379597646,2.81533536574703,0.431924882629108,-0.117712229024312,-0.23402418674182013,-0.024199253194502147,True,213,-0.12653281450744502,0.2188038022868165,True,Part A のグリッド探索 (選定ルール通過),0.34571505564933863,32.05583702696281,147,False
3,"adx[length=20, threshold=30.0]",15m,12,1502,0.15721510431966407,-0.17163630153449116,2.0117737113864638,0.044422211429307384,0.0016186993637917365,0.3042409016841224,2.7582546158265586,-3.704563561781936,9.226378757321164,0.4600532623169108,0.12339751269787305,0.2097325593073902,0.13320351636655647,True,1455,0.15039295614533646,0.06008957822920436,True,Part A のグリッド探索 (選定ルール通過),0.3211269513998587,7.98391582100126,1073,False
4,"adx[length=14, threshold=25.0]",15m,12,3527,0.09085969728530953,-0.24582481003104964,1.850259203128739,0.06435980206546883,-0.0014800454381799033,0.1809855479955215,2.3307121644545035,-1.6339472974738587,6.394666823137426,0.4445704564785937,0.11304836556414435,0.10329588731039745,0.056063785594532144,True,3285,0.10150035877936678,0.04676724758097731,True,Phase 1b の副次系列 (選定ルールを経由しない無条件追加),0.18390368437529747,7.527597417577197,2540,False
