interval,symbol,n_events,n_bars,bar_move_median_bps,bar_move_over_cost_floor,bar_move_over_cost_base,bar_move_over_cost_hl
5m,BTCUSDT,4499,148507,5.840154334100234,5.840154334100234,2.920077167050117,0.5309231212818394
5m,ETHUSDT,5097,148507,9.063032367971902,9.063032367971902,4.531516183985951,0.823912033451991
5m,SOLUSDT,4828,148507,11.220983238655613,11.220983238655613,5.6104916193278065,1.0200893853323285
15m,BTCUSDT,1767,49435,10.347459493793565,10.347459493793565,5.1737297468967824,0.940678135799415
15m,ETHUSDT,1720,49435,15.942035682435796,15.942035682435796,7.971017841217898,1.449275971130527
15m,SOLUSDT,1679,49435,19.798186230679526,19.798186230679526,9.899093115339763,1.799835111879957
1h,BTCUSDT,412,12283,20.197914152513263,20.197914152513263,10.098957076256632,1.8361740138648421
1h,ETHUSDT,399,12283,30.7729632065179,30.7729632065179,15.38648160325895,2.7975421096834454
1h,SOLUSDT,408,12283,38.943113477275524,38.943113477275524,19.471556738637762,3.540283043388684
