setting_key,family,label,interval,horizon,n_signals,mean_atr,mean_bps,win_rate,signs_agree,blue_bars,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,rank_in_cell
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,1,2981,0.01580896512850817,0.41639200098265644,0.48406574974840655,False,0,-0.005384147782261001,0.04691363999827377,0.005188890982101841,13.0
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,3,2981,0.027285603437238536,0.2634469078454787,0.4968131499496813,True,0,0.024528466956454102,0.029170235254922423,0.02827515532718606,8.0
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,6,2981,0.04738342100269345,0.7665348774096191,0.4974840657497484,True,0,0.013604755139962142,0.06395015719029887,0.06666055389851976,12.0
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,12,2981,0.07308311445037262,1.0495296739221527,0.4981549815498155,True,0,0.08358770112542327,0.07738480529075854,0.05671972356954373,13.0
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,24,2981,0.04950854559228916,-0.5219600436878051,0.4854075813485408,True,0,0.02311687069240418,0.06675442863985404,0.05985157367106896,19.0
"adx[length=7, threshold=15.0]",adx,"length=7, threshold=15.0",5m,48,2981,0.0805265691989067,-0.107674259548997,0.48976853404897686,False,0,-0.006459156232668096,0.24467280390824586,-0.0030722227189130917,20.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,1,10553,0.004450347341451748,-0.005383473978691805,0.476262674121103,True,0,0.006819900388389898,0.001115185885972165,0.005351861337359199,27.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,3,10553,-0.010943180126064742,-0.37937595849337225,0.4751255567137307,True,0,-0.013837822449087543,-0.012334335052760242,-0.006656586418110252,32.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,6,10553,-0.04273631599827653,-0.9167480833181004,0.4741779588742538,True,0,-0.05574844429940479,-0.04715839705514563,-0.02527255497984675,51.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,12,10553,-0.006826735630320653,-0.22429220239847,0.48583341229981997,False,0,-0.05568427528582451,0.021761251749569603,0.014194614109950392,35.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,24,10553,-0.01112662901256702,-0.40952976006436204,0.4777788306642661,False,0,-0.03954061136758928,0.047630320423532164,-0.040434940100824754,43.0
"adx[length=7, threshold=20.0]",adx,"length=7, threshold=20.0",5m,48,10553,0.04822581256357439,1.2806838398667677,0.49275087652800154,False,0,-0.07952757369879297,0.1812551075852041,0.045742104430415466,25.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,1,16187,-0.006631665709099867,-0.21968113606451012,0.4601223203805523,False,0,-0.0023278531013499596,0.0014147454439951694,-0.018750121201254338,41.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,3,16187,-0.0334699708865802,-0.5760438809543666,0.459010316920986,True,0,-0.04937708612984541,-0.010915592490003663,-0.039369976669487404,48.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,6,16187,-0.02615511850511618,-0.3271485654262835,0.46413788842898623,False,0,-0.05591725832262361,0.0029114057623188007,-0.02446416958329087,47.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,12,16187,0.011749493389864469,-0.12666107918088612,0.47550503490455304,False,0,0.003348305691776911,0.050325823716102815,-0.01721318464127155,29.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,24,16187,0.017870826185859785,0.6265517894534712,0.474207697535059,False,0,-0.022843668887484205,0.1265795904407288,-0.04664723747923612,25.0
"adx[length=7, threshold=25.0]",adx,"length=7, threshold=25.0",5m,48,16185,0.04794003480384771,1.1995003800567698,0.48297806611059624,False,0,0.027656110532261663,0.17745476670743499,-0.057227671708467376,26.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,1,17171,-0.014367411911923967,-0.28934993438698453,0.45926271038378663,True,0,-0.023543763627447645,-0.005073024589945839,-0.01410819625338163,49.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,3,17171,-0.01965704717770186,-0.26793084428971553,0.4587385708461942,False,0,-0.04574459627945123,0.0013701670282639058,-0.013774330965840773,40.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,6,17171,-0.012557629323823868,0.152844909588132,0.46392172849571955,False,0,-0.06085681668088026,0.028525240550179243,-0.0037189594809695858,29.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,12,17171,0.024636800917796468,0.315408583307079,0.47521984741715684,False,0,-0.01298479954142735,0.04567313628276326,0.041977546893242734,26.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,24,17171,0.040365396394374004,0.921237561883059,0.4766175528507367,False,0,0.025668248164909417,0.11172811122802784,-0.013078156481869451,21.0
"adx[length=7, threshold=30.0]",adx,"length=7, threshold=30.0",5m,48,17169,0.0611275173981362,1.7948739244562653,0.4868076183819675,False,0,0.013800263762502254,0.20346260906478444,-0.027542748793493638,21.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,1,5037,0.006790528556383474,0.11480584752840504,0.4768711534643637,False,0,0.01071558245971179,0.014122995971281567,-0.004846616835401396,22.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,3,5037,-0.004443218982145719,-0.04332721770694307,0.4768711534643637,False,0,0.0036018488564783834,-0.01938689711806492,0.0016404200492881702,25.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,6,5037,-0.027308547626501922,-0.26711461172161055,0.4730990669049037,True,0,-0.019663458987574187,-0.01938347312553469,-0.043625948848724935,48.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,12,5037,-0.008064425476667865,0.14652820501468902,0.4844153265832837,False,0,-0.02972387983373697,0.02537574372071976,-0.01765937617806702,38.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,24,5037,-0.04058905749651746,-1.0957185874290352,0.4748858447488584,False,0,-0.0853809943397082,0.08611031174927761,-0.11790553013882339,50.0
"adx[length=10, threshold=15.0]",adx,"length=10, threshold=15.0",5m,48,5037,-0.0007076186125674576,0.06723878269843174,0.4860035735556879,False,0,-0.03843025266868414,0.21997493054773556,-0.17966094750435813,32.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,1,10398,-0.01290636694328185,-0.16476781621014935,0.45797268705520294,True,0,-0.0048960061282650605,-0.005450864980524274,-0.027819870650454603,48.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,3,10398,-0.033747855619771436,-0.5869779887403782,0.4547989998076553,False,0,-0.0609337339195735,0.0017293112750732535,-0.039962125018722025,49.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,6,10398,-0.048133963710673834,-0.987410034582571,0.4604731679169071,True,0,-0.08623485429769683,-0.0026885118197196604,-0.0528455746433132,55.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,12,10398,-0.007825982517794101,-0.4187059964376502,0.4705712637045586,False,0,-0.05322828708815876,0.05168731273803329,-0.018451045236190934,37.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,24,10398,-0.010237862165031274,-0.2207283976649697,0.4724947105212541,False,0,-0.0636170292036696,0.10340928223328419,-0.06356772656527927,42.0
"adx[length=10, threshold=20.0]",adx,"length=10, threshold=20.0",5m,48,10396,0.00655896114564161,0.48777910737960384,0.4828780300115429,False,0,-0.10054574349806483,0.188030912488611,-0.05689321466490364,30.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,1,11678,-0.012089683236230634,-0.14677964615347314,0.45658503168350745,False,0,-0.04121846587522316,0.004837480843710714,0.00036723006080409057,46.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,3,11678,-0.03024419335614927,-0.5410975347120275,0.45315978763486897,False,0,-0.08668731852636018,0.0018562478789637816,-0.005432277577605375,47.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,6,11678,-0.018807088346027498,-0.2235761978822487,0.459839013529714,False,0,-0.08450249096143975,0.017621674900438276,0.010971723673749387,41.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,12,11678,0.02695482854752694,0.01978924051828963,0.47020037677684534,False,0,-0.030693182478717808,0.046065723331502384,0.06547355113516055,24.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,24,11678,-0.002184144207735407,-0.6069927251708337,0.46934406576468574,False,0,0.009373684221027814,-0.01297412607368979,-0.0032015292582086127,31.0
"adx[length=10, threshold=25.0]",adx,"length=10, threshold=25.0",5m,48,11676,0.04904043832472927,0.9975465936246295,0.48150051387461457,False,0,-0.02986835698404015,0.14620026862902286,0.033352642052653175,24.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,1,10501,-0.015609494951478724,-0.42122788859219773,0.45481382725454716,False,0,-0.021709928710384352,-0.0326882868094642,0.007882679573960175,50.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,3,10501,-0.01917033849505264,-0.3027820122056169,0.4475764212932102,False,0,-0.0455883285813871,-0.02909558004946191,0.017295624910519704,39.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,6,10501,0.023330365494196228,0.06132171348072277,0.45576611751261786,False,0,-0.004237327251437983,0.027037172313445157,0.04704862996364374,17.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,12,10501,0.06864416369358604,0.4798851998964358,0.4684315779449576,True,0,0.043893974327045525,0.08853098659127245,0.0730607709442719,14.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,24,10501,0.10734338328138252,1.5591594032343483,0.4809065803256833,True,0,0.07409601943316375,0.11415878643838143,0.1335582057117139,14.0
"adx[length=10, threshold=30.0]",adx,"length=10, threshold=30.0",5m,48,10497,0.16482009099756792,3.168551973646436,0.48518624368867297,True,0,0.07294006200111079,0.2187916750953512,0.20146233642782527,13.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,1,6039,-0.01686936436754935,-0.380979460088746,0.45686371915880114,False,0,-0.009732201209574541,0.0036388710264980595,-0.04368543926800414,52.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,3,6039,-0.02859156517851261,-0.31715781591795356,0.45388309322735554,False,0,-0.05654490942837566,0.03749514767560361,-0.06193576165428139,45.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,6,6039,-0.035556166157949515,-0.7002711480611876,0.4672959099188607,False,0,-0.05881172062323631,0.057055277143374404,-0.09886193789135014,50.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,12,6039,-0.00898632322597309,-0.4207670975248868,0.47176684881602915,False,0,-0.017354075579327145,0.05757056728776024,-0.06317412308531074,41.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,24,6039,-0.08136040853753805,-1.4670334677632748,0.46348733233979134,True,0,-0.1128819268911804,-0.008049849421279365,-0.11781548312626183,57.0
"adx[length=14, threshold=15.0]",adx,"length=14, threshold=15.0",5m,48,6039,-0.08599685991196024,-0.9290357827482292,0.47656896837224705,False,0,-0.27511335791331537,0.18304517419084243,-0.14329655446171394,54.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,1,8129,-0.008597025868223179,-0.0667487977743764,0.462787550744249,False,0,-0.026460581479025164,-0.02331321717700673,0.023764428320981815,42.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,3,8129,-0.043126820740898256,-0.7246466081400509,0.45122401279370156,False,0,-0.06880707900424488,-0.06524515796924184,0.004320542700926268,53.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,6,8129,-0.021212639224789637,-0.32701220002604947,0.4598351580760241,False,0,-0.0730191645390924,-0.03316516758308272,0.04310768484054305,43.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,12,8129,0.049630670698748734,0.6268400104388537,0.4716447287489236,True,0,0.00888597485472529,0.05466376274784362,0.08634473922883731,19.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,24,8129,0.03314800062108988,0.030877515449516734,0.47484315413950057,True,0,0.03093598945709385,0.03355197008111818,0.03501554704292289,22.0
"adx[length=14, threshold=20.0]",adx,"length=14, threshold=20.0",5m,48,8127,0.05353050070576976,0.8151699542658789,0.48431155407899595,False,0,-0.07522075646303238,0.21748341972798937,0.027264218010886822,23.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,1,7470,-0.011502262237887988,-0.1561448123800438,0.4528781793842035,False,0,-0.02657032626615356,0.008110855084850668,-0.016561071641669905,45.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,3,7470,0.0014019327283548628,-0.013975693935005902,0.4568942436412316,False,0,-0.03627140811853716,0.007846540610397341,0.031755053295243946,16.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,6,7470,0.035958428566626184,-0.216454257886328,0.46037483266398926,True,0,0.03284808431780366,0.04434957880066242,0.030529884103391147,16.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,12,7470,0.03891037606281172,-1.1103574814158297,0.46157965194109773,True,0,0.022042845582518827,0.06259238164615752,0.03150421504778435,21.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,24,7470,0.08583021845906001,-0.15747452480480903,0.47483266398929047,True,0,0.11219007511615886,0.12603098133679458,0.01945304450439369,16.0
"adx[length=14, threshold=25.0]",adx,"length=14, threshold=25.0",5m,48,7467,0.1571639502657296,2.2117457949600303,0.48078210794160975,True,0,0.1773140478773874,0.14080259139434442,0.1539677596983032,14.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,1,5730,0.008066939163533932,-0.3111646124145807,0.4619546247818499,True,0,0.005269630889013235,0.0027968523898999776,0.01645394805447445,20.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,3,5730,0.01384503857288761,-0.6664717258394792,0.4493891797556719,True,0,0.017029778539297387,0.007808153962264839,0.01705988792919141,14.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,6,5730,0.03863073772140459,-0.4722243918405597,0.4570680628272251,True,0,0.030415637446620795,0.020309568707940526,0.0662773206842231,14.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,12,5730,0.12452563999333449,0.20982340542333422,0.4668411867364747,True,0,0.17947096754420097,0.07923751051407335,0.11757282937023643,10.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,24,5729,0.21866442437994518,2.831779491581196,0.47774480712166173,True,0,0.33471659028934775,0.1715973227058562,0.15252048326918924,5.0
"adx[length=14, threshold=30.0]",adx,"length=14, threshold=30.0",5m,48,5725,0.3012341786088531,6.56818101485023,0.48960698689956333,True,0,0.40204641021196497,0.29007619968246123,0.21230769923533213,5.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,1,5205,-0.023182095999614585,-0.44095960231577674,0.4520653218059558,True,0,-0.026211351812080043,-0.008490620528683416,-0.03364239692072665,56.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,3,5205,-0.037008138004472044,-0.5798175976154971,0.44245917387127764,True,0,-0.05235363701671419,-0.01869434408221359,-0.037759659387177735,51.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,6,5205,-0.014149687034763894,-0.1875285546189282,0.4547550432276657,True,0,-0.01361468380519133,-0.005679038983386188,-0.02260404595379841,34.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,12,5205,0.06601043650566793,0.9424375060363748,0.47569644572526415,False,0,0.11558046570123427,0.08289366054799571,-0.0023563165988402424,15.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,24,5205,0.07114404303000578,0.9211256898054204,0.48184438040345823,True,0,0.13656929767677614,0.05990808770472375,0.01211619158609943,17.0
"adx[length=20, threshold=15.0]",adx,"length=20, threshold=15.0",5m,48,5205,-0.02706700756481446,-0.17007899906325175,0.4812680115273775,False,0,-0.12339286018551356,0.10862730056763072,-0.051089569425652626,45.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,1,5401,-0.003311197493101669,-0.33676157023583314,0.46491390483243844,False,0,-0.002405674062166366,0.009650528683803537,-0.017030286834752315,38.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,3,5401,-0.03012647391415734,-1.2757738884726988,0.4491760785039807,False,0,0.006251973942735273,-0.014648159551555393,-0.08132012364367298,46.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,6,5401,-0.004581507230721831,-1.2657335997367314,0.4567672653212368,False,0,0.046248580619777706,-0.027780169432485537,-0.031755644937623534,24.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,12,5401,0.037840581555735636,-1.3686256446765581,0.4610257359748195,False,0,0.05488623149799807,0.06642064100339772,-0.007251154072171187,22.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,24,5401,0.04228461939380394,-1.0865054287262161,0.46324754675060176,False,0,0.11143004235859362,0.05106049165219227,-0.034592390899881496,20.0
"adx[length=20, threshold=20.0]",adx,"length=20, threshold=20.0",5m,48,5398,0.16490329504777798,3.0313012237581636,0.4814746202297147,True,0,0.21840664200417412,0.18941821833349565,0.0878791632931716,12.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,1,4126,-0.005499236406882733,-0.16291576212720613,0.4583131362094038,False,0,-0.010969119890179596,-0.015983785024492294,0.010674348513229334,40.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,3,4126,-0.004063089978659575,-1.0347249856648395,0.44134755210857973,False,0,-0.008376328071603377,-0.029199725022598336,0.026283433091460563,24.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,6,4126,0.0104551288952393,-1.2810144874037597,0.44643722733882696,False,0,-0.017608174056944734,0.0037783408812527785,0.04429795362257238,20.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,12,4126,0.11733404270970758,0.5600274155907474,0.4617062530295686,True,0,0.2006829567010848,0.03781073058134874,0.12043652261183325,11.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,24,4125,0.14641891966335738,2.2455387364057477,0.47733333333333333,True,0,0.1752929995024509,0.10534854222633844,0.16161647033713064,10.0
"adx[length=20, threshold=25.0]",adx,"length=20, threshold=25.0",5m,48,4123,0.2793411314177208,7.066674139952133,0.4947853504729566,True,0,0.3442541445424693,0.3300963382620205,0.16423360836091552,6.0
